GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Speed (OBD)(mph),Ratio (RPM/mph),5,4,3,2,1
Thu Jan 11 19:07:04 EST 2018,07:03.7,-85.6377267,38.18764546,3.05,4.5509996,121,239.7,-0.58863831,8.5328064,2.69432068,-0.00719942,961.75,7.45645428,128.982216464419,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:05 EST 2018,07:04.7,-85.6377532,38.18762197,3.5,4.5509996,120,220.4,-0.5670929,9.13818359,5.70448303,0.05015123,863,7.45645428,115.738656416733,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:06 EST 2018,07:05.7,-85.6377716,38.18759932,2.75,4.5509996,120,208.5,0.37806702,8.52084351,3.63230896,0.03234974,864.5,5.59234095,154.586425922404,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:07 EST 2018,07:06.7,-85.63778388,38.18758153,2,4.5509996,120,202.5,0.26081848,8.8462677,4.05343628,0.02829211,844.5,3.72822714,226.5151688156,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:08 EST 2018,07:07.7,-85.6377905,38.18756299,2.23,4.5509996,120,203.5,0.43070984,9.09272766,3.95294189,0.03693534,860.75,1.86411357,461.747617662587,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:09 EST 2018,07:08.7,-85.63779366,38.18755098,0.74,4.5509996,120,202.5,-0.10528564,9.19801331,3.88116455,0.03706572,857,1.24274242,689.603884286818,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:10 EST 2018,07:09.7,-85.63779148,38.18754648,0.27,4.5509996,120,202.5,-0.52880859,9.86561584,3.65383911,0.03498413,856,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:11 EST 2018,07:10.7,-85.6377895,38.18754321,0.25,4.5509996,120,202.5,-0.37089539,9.72444153,3.59941101,0.0292137,860,0.62137121,1384.03580043562,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:12 EST 2018,07:11.7,-85.6377882,38.18753895,0.44,4.5509996,120,202.5,-0.17527771,9.52044678,3.26560974,0.0356221,853.5,1.24274242,686.787532367327,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:13 EST 2018,07:12.7,-85.63778986,38.18753125,0.93,4.5509996,120,199.3,-0.56948853,9.79083252,3.7495575,0.03371054,860.5,2.48548484,346.210118103154,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:14 EST 2018,07:13.7,-85.63779216,38.18752028,1.15,4.5509996,119,199.2,0.32542419,9.18424988,2.73260498,0.02950391,840,3.10685587,270.369799935393,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:15 EST 2018,07:14.7,-85.63779562,38.18750532,1.72,4.5509996,119,199.2,-0.27337646,9.43908691,3.67237854,0.03236451,841.75,3.72822714,225.777552812944,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:16 EST 2018,07:15.7,-85.6377998,38.18748729,1.88,4.5509996,119,199.2,0.2099762,8.90310669,3.43789673,0.04319715,850.75,4.34959841,195.592769678247,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:17 EST 2018,07:16.7,-85.63780395,38.18746811,1.77,4.5509996,119,191.2,-0.3134613,9.10528564,4.16650391,0.03184228,851,3.10685587,273.910356839308,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:18 EST 2018,07:17.7,-85.63780712,38.18745139,1.51,4.5509996,117,191.6,0.00358582,9.08615112,4.08514404,0.03452045,856,1.24274242,688.79921230982,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:19 EST 2018,07:18.7,-85.63780534,38.18744306,0.69,4.5509996,116,191.5,-0.17767334,9.37149048,3.95054626,0.03723475,853,0,#DIV/0!,#N/A,#N/A,#N/A,,
Thu Jan 11 19:07:20 EST 2018,07:19.8,-85.63779695,38.18744706,0,4.5509996,116,0,-0.32841492,9.37687683,3.69392395,0.03330427,849.75,0,#DIV/0!,#N/A,#N/A,#N/A,,
